Selection Ranking,Processing,Classifier,Run,Accuracy,Specificity,F1-Score,Sensitivity,Auc
KW,Natural,Bayes_Classifier,3,0.993193239890583,0.9927587492463088,0.9940449435209722,0.9935175154140368,0.9947275546216974
KW,Natural,Bayes_Classifier,4,0.9930660107296593,0.9927584351787184,0.9939351309889816,0.9932994061161665,0.9947421743224815
KW,Natural,Bayes_Classifier,5,0.9931847579465213,0.9927668695814484,0.994038584777987,0.9934964266462668,0.9947460326737682
KW,Natural,KNN_Classifier,1,0.9973069827604487,0.9946407118572352,0.9976491059056046,0.9993024393566674,0.9946023766356211
KW,Natural,KNN_Classifier,2,0.9972009584596788,0.9945754424909573,0.9975554916377594,0.9991691200124808,0.9945360172273656
KW,Natural,KNN_Classifier,3,0.9972730549842025,0.9946896189494161,0.9976197698980449,0.9992064433549002,0.9945546412569746
KW,Natural,KNN_Classifier,4,0.997319705676541,0.9947183044717451,0.9976608112506973,0.9992657501848695,0.9945841674144577
KW,Natural,KNN_Classifier,5,0.9972221633198328,0.9945538171480243,0.9975746608579772,0.9992211744469932,0.9945618978579588
KW,Natural,SVM_Classifier,1,0.9967768612565999,0.9925223053768569,0.9971893372966228,0.9999628086870672,
KW,Natural,SVM_Classifier,2,0.9967811022286307,0.9925221568875993,0.997193060607629,0.9999703588490613,
KW,Natural,SVM_Classifier,3,0.9967768612565999,0.9925243526026144,0.9971885826288844,0.9999627258717775,
KW,Natural,SVM_Classifier,4,0.9967726202845693,0.9925172292439228,0.9971869899387474,0.999955440484946,
KW,Natural,SVM_Classifier,5,0.9967811022286309,0.9925208465811186,0.9971935165807879,0.9999703670778235,
KW,PCA,Euclidean_MDC,1,0.875014313280604,0.7581351624910261,0.8980333273445368,0.9625158824090019,0.8077857900576905
KW,PCA,Euclidean_MDC,2,0.8752475667422972,0.7583133519659583,0.8982372149461814,0.9627900318498099,0.8074163671494143
KW,PCA,Euclidean_MDC,3,0.8750864098051274,0.7583411833539182,0.8980776466902135,0.962482051589793,0.8075708133149131
KW,PCA,Euclidean_MDC,4,0.8749888674484192,0.7580432422181288,0.8980178564120184,0.9625292158958383,0.808024283078815
KW,PCA,Euclidean_MDC,5,0.8743399987277083,0.7576334269110545,0.8974733041589902,0.9617141405894648,0.8062277598596566
KW,PCA,Mahalanobis_MDC,1,0.9658389702919911,0.9228742412732824,0.9709449293370502,0.9979979059489155,0.8997056157259973
KW,PCA,Mahalanobis_MDC,2,0.9659237897326067,0.9230666291696474,0.9710133593543617,0.9980046017157498,0.8999306168207479
KW,PCA,Mahalanobis_MDC,3,0.9658389702919911,0.9228431578496142,0.9709433704040127,0.998027311311489,0.8999233051010722
KW,PCA,Mahalanobis_MDC,4,0.9657371869632521,0.9226382824077582,0.9708595567850233,0.9979983109891055,0.8995628950015458
KW,PCA,Mahalanobis_MDC,5,0.9656523675226362,0.9224655970139771,0.9707918535374158,0.9979666626431666,0.8997903847594089
KW,PCA,LDA_Fisher_MDC,1,0.8987976844292712,0.8125209296439625,0.9158809502458629,0.9633887936204186,0.9720752286057246
KW,PCA,LDA_Fisher_MDC,2,0.89889946775801,0.8126170792457051,0.915967864915024,0.9635144871336461,0.9720568926699336
KW,PCA,LDA_Fisher_MDC,3,0.8986492504081935,0.8121918768103116,0.9157653594650528,0.9633709749783632,0.9720394024989881
KW,PCA,LDA_Fisher_MDC,4,0.8990606246951801,0.8128736113114352,0.916104450520242,0.963562929256967,0.9721357582354734
KW,PCA,LDA_Fisher_MDC,5,0.8985856358277318,0.8118465549361773,0.9157340517376863,0.9635158366885446,0.9719896316152746
KW,PCA,Bayes_Classifier,1,0.9370724570071459,0.8641356686128704,0.947443658470787,0.9916742829358235,0.9905747863636051
KW,PCA,Bayes_Classifier,2,0.9352573209779681,0.8596096680775229,0.946010366814885,0.9919100901035804,0.9905240079921952
KW,PCA,Bayes_Classifier,3,0.9356347674887084,0.860408562999206,0.9463178126593494,0.9919545841993014,0.9905369973230514
KW,PCA,Bayes_Classifier,4,0.9351343327890753,0.8592742062565257,0.9459175890274985,0.9919231331083651,0.9905408823868564
KW,PCA,Bayes_Classifier,5,0.9352233932017218,0.8595387534447969,0.945988579599705,0.9918805222332766,0.9905223778269246
KW,PCA,KNN_Classifier,1,0.9971458258232786,0.996433822346565,0.997504683412029,0.9976783349123547,0.9937962143644286
KW,PCA,KNN_Classifier,2,0.9970016327742319,0.9963564478666486,0.9973774852026596,0.9974846121985672,0.9936997495647776
KW,PCA,KNN_Classifier,3,0.997056765410632,0.996334606020308,0.9974273252948038,0.9975975844047598,0.9937559292484869
KW,PCA,KNN_Classifier,4,0.9970864522148478,0.9964723154526363,0.9974531545959895,0.997545254380317,0.993730110015193
KW,PCA,KNN_Classifier,5,0.9970949341589093,0.9964363742303298,0.9974594831088928,0.9975894523105155,0.9937519952287568
KW,PCA,SVM_Classifier,1,0.9983841896562691,0.9974937574892054,0.9985879039215335,0.999050764014289,
KW,PCA,SVM_Classifier,2,0.9983799486842383,0.9975030839938668,0.9985847531093455,0.9990368091710635,
KW,PCA,SVM_Classifier,3,0.9982654424394071,0.9973485456296837,0.998483075829794,0.9989542014586206,
KW,PCA,SVM_Classifier,4,0.9983502618800231,0.9974531798581916,0.9985579401836301,0.9990200436331798,
KW,PCA,SVM_Classifier,5,0.9983205750758073,0.9974447364723737,0.9985321968218572,0.9989767352067794,
KW,LDA,Euclidean_MDC,1,0.9713607158760788,0.9331082159932595,0.9755712268511747,1.0,0.99396634354249
